Area,Age,Number of Rooms,Bedrooms,Area Population,Price,Address
60697.35,6,7,6,28140.96709,743999.82,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
59748.86,5,8,4,27809.98654,895737.13,"24282 Paul Valley
West Perry, MI 03169-5806"
56974.48,8,7,4,40694.86951,1453974.51,"61938 Brady Falls
Lewisfort, DE 61227"
82173.63,4,7,2,38853.91807,1125692.51,"3599 Ramirez Springs
Jacksonhaven, AZ 72798"
64626.88,5,7,4,27784.74228,975429.49,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814"
90499.06,6,4,3,33970.16499,1240763.77,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365"
59323.79,7,8,4,37520.65773,1577017.76,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832"
77811.52,5,7,3,33754.7378,1246830.19,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224"
68652.61,6,6,4,39355.62573,1170720.89,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110"
55041.35,7,9,5,30122.47348,1071279.21,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041"
50218.71,6,7,6,16810.78331,534305.13,"039 Jordan Pike
Emilyville, ID 27442"
55909.32,5,9,6,22355.23541,936368.96,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766"
74372.81,6,7,2,39395.15118,1199193.83,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811"
78667.90,5,8,4,27637.65655,1233220.01,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585"
78699.52,6,7,3,22836.60757,1081150.13,"7585 Lynn Loop
East Judy, WV 73336"
53128.19,5,5,2,32947.71196,524712.77,"Unit 1388 Box 9350
DPO AP 70848"
17796.63,5,7,3,47162.18364,302355.84,"9932 Eric Circles
Lake Martha, WY 34611-6127"
58566.85,7,5,2,39705.46496,1026817.40,"7896 Walker Spring
Loriport, MH 72956"
75537.79,8,8,6,32778.19534,1762214.68,"549 Darren Plaza
Lake Kevin, UT 27155"
46147.05,7,8,4,27161.12861,882057.17,"90634 Michelle Valleys
North Victoria, WV 99370"
70421.48,7,8,4,43183.92849,1744932.21,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802"
62614.42,5,7,6,26888.57956,1153871.47,"43087 Jerome Field
West Deborah, SD 49213"
66394.87,7,7,3,39741.07751,1499988.88,"71956 Jenkins Fall
Brooketown, PW 67485-0764"
73946.85,5,8,6,35261.12702,1109588.38,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027"
69144.75,7,6,3,19030.61549,980177.31,"Unit 8108 Box 5159
DPO AP 04678"
77278.70,6,7,2,21725.95429,1323952.03,"08639 Garcia Port
Anthonybury, CT 17971"
86754.20,7,6,4,43017.44076,1662494.74,"91863 Curtis Point
New Richard, AK 99996-7554"
74399.84,6,7,6,41084.66282,1417819.74,"03819 Lee Junction Suite 046
Mooneyborough, WA 19656"
49408.20,6,6,3,26881.1306,549976.15,"7796 Joseph Burg
Danielsside, RI 70370"
62279.79,6,6,4,35263.65314,1054770.98,"173 Mendoza Land
West John, NJ 57690"
73078.20,6,6,3,54915.96178,1415647.55,"3288 Lee Pass
South Julieton, PW 02759-4964"
72942.71,5,7,6,24377.90905,948788.28,"86908 Marshall Port Suite 252
Scotttown, NM 69143"
63819.62,6,8,4,27825.57206,1159596.52,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266"
73265.45,8,7,3,21030.96618,1547133.40,"00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754"
68488.13,6,7,5,18267.95471,1186688.51,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955"
55193.86,7,5,4,32537.81877,772111.97,"13706 Morgan Turnpike Suite 378
Hohaven, NC 42699"
77434.69,6,5,3,36252.34068,1172730.16,"4872 Delgado Ramp
North James, IA 36544"
66158.88,4,7,2,37098.74217,1111085.02,"73202 Christopher Tunnel
New Roberttown, MN 08925-1536"
60502.91,8,6,4,33579.63151,1022781.17,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884"
60910.89,6,7,4,43347.804,1274474.55,"PSC 9354, Box 0703
APO AA 58696-1278"
73931.98,6,5,4,36543.06728,1213530.85,"271 Johnson Hills Apt. 001
Mcculloughfurt, FM 70847"
59539.95,6,7,5,58600.82715,1411730.48,"122 Russo Neck
South Kevin, KY 20712-5282"
56547.51,5,7,3,37585.27458,858685.57,"85225 Christopher Inlet Apt. 627
West Calebberg, KS 76460"
65950.35,5,7,3,40110.8476,1200961.82,"7125 Mullins Cliff
Maryborough, WY 66971"
74533.16,7,6,4,49481.56581,1520234.23,"905 Lane Pines Suite 348
Brownborough, DE 57196-3319"
66422.92,7,7,6,31019.32482,1360908.32,"61090 Griffith Ridges
Craigstad, AK 28807-8602"
74334.49,5,6,4,41640.43566,1360920.53,"270 Jennifer Loop Suite 343
South Jesse, ND 60570-1483"
63538.35,5,7,3,43282.183,1146532.46,"10973 Clark Trafficway
Meyersbury, LA 63237"
83953.10,7,7,3,37283.35765,1789098.52,"91733 Baker Orchard
South Kyle, KS 37301"
57279.06,5,7,3,44023.79068,852099.46,"024 William Course
East Charlotteview, DE 69073-3104"
56553.55,6,7,3,29682.40986,746096.73,"PSC 4455, Box 3268
APO AP 45454"
75795.58,6,7,6,33197.77774,1534479.91,"562 Brown Junction Suite 282
Christopherborough, KS 20719"
70848.79,5,7,3,40458.73587,1215608.53,"USCGC Thompson
FPO AA 13237-3887"
59787.40,6,7,3,32402.10755,941594.33,"65884 Johns Valley Apt. 621
Ethanbury, NY 07783"
64826.37,4,8,4,60286.0431,1204598.04,"Unit 2139 Box 3667
DPO AP 49517"
65925.85,8,7,3,34171.36007,1597655.26,"253 Golden Island
East Donald, CT 91882"
64419.25,7,9,6,39318.17075,1492011.50,"4861 Steven Plains Suite 066
Port Reginaland, MN 06152-7205"
58544.46,9,7,4,30865.58695,1421216.50,"5255 Rebecca Junctions Suite 240
Royshire, WI 85782-2398"
68791.79,5,7,4,48423.32244,1132522.90,"2833 Townsend Cliffs
New Tommy, MP 86130-3426"
82061.57,4,6,4,36271.4085,1102821.44,"708 Pena Ramp
Terryburgh, CA 31572-1304"
80659.53,5,7,6,52947.03636,1856211.35,"8030 Ruiz Dale
Shermanchester, KY 56950-5684"
66668.09,6,8,3,47075.21223,1687998.93,"Unit 3857 Box 9497
DPO AE 92239"
64721.56,6,7,4,36115.81636,1063423.01,"042 Mitchell Mountains
Adamsview, OR 44424"
65199.99,6,7,3,28366.03543,1177289.89,"07420 Victoria Trail Apt. 904
Port Kevinbury, OR 86759"
74579.99,5,6,3,42806.14664,1173474.38,"38449 Shaw Glen
Pattonside, TX 98415"
76273.67,8,5,3,46974.57879,1637260.00,"82387 Hensley Bypass
Danielmouth, ME 30791"
67561.94,5,8,4,35517.54187,1238938.29,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688"
48904.98,5,5,3,32960.75307,201898.09,"2124 Garcia Viaduct
North Kellytown, DC 30864"
72145.97,6,8,6,28882.90085,1439506.10,"646 Nicholas Mall Apt. 058
East Danielle, OR 53708"
70805.61,4,6,3,29268.82674,585608.63,"874 Laura Throughway Suite 350
Port Michaelberg, PW 94284-9448"
65383.34,8,7,3,35114.40246,1294685.16,"7373 Hart Brooks Apt. 168
East Christianside, PR 72679-9159"
95450.29,7,7,3,39388.51552,2014851.34,"035 Mark Bridge
West Craig, MT 78649"
73698.70,6,7,4,51815.09642,1840236.01,"69600 Wilson Rue
Elizabethland, PW 17767-2884"
66263.91,6,7,4,49829.9515,1441421.91,"001 Steve Plaza
Jessicastad, UT 25190"
75394.76,7,8,4,22268.07531,1498640.55,"238 Anthony Drive
Acostahaven, AS 62753-6637"
65984.75,7,6,2,21867.47694,954746.58,"01818 Wilson Spurs
West Andreaton, SD 69568-7005"
66477.26,7,6,2,32458.9867,1124635.93,"95779 Walton Square
Bakershire, PR 49599"
69284.26,5,7,3,40282.72428,1169944.25,"124 Russell Mountains Apt. 591
North Sharonfurt, OH 67836-4969"
70404.50,6,6,2,37127.9255,1114430.95,"73080 Veronica Turnpike Suite 991
New Debra, VA 61246"
74218.49,8,7,4,46770.66097,1783534.84,"106 Williams Well Apt. 657
Samanthaview, PR 87811"
63441.71,6,7,3,48061.75267,1302933.25,"Unit 3405 Box 4348
DPO AP 68816-2990"
57493.92,7,7,4,47039.21532,1241483.61,"4007 Kimberly Crossing
Nathanielview, NC 72093-8287"
81543.78,6,6,2,9816.300885,954114.54,"Unit 5889 Box 7282
DPO AE 41177-0399"
78633.97,5,8,3,43728.80349,1555320.50,"075 Andrea Green Suite 201
Johnshire, KS 50389"
52202.85,5,4,2,42165.81246,404976.37,"6811 Spears Trail Suite 081
East Troy, MS 43910"
67980.39,6,6,2,25909.0792,1073183.76,"69401 Danielle Motorway
New Dennis, IL 53971"
78568.45,5,6,2,41016.64709,1422195.88,"2276 Riley Flats Suite 975
Johnmouth, NH 39983"
55472.65,5,6,3,15353.95643,340605.21,"91111 Crane Spur
Kathleenmouth, ME 43022-3191"
67579.23,6,8,6,21762.94969,1170959.53,"744 Hill Ports
Mooreside, MH 20945-2825"
61456.15,7,6,4,30821.41209,942838.16,"019 Lisa Village Apt. 379
Maxwellmouth, DE 26176"
60815.39,7,8,4,31233.64935,1401613.92,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788"
51217.18,5,9,3,47089.47508,1175504.49,"USS Harrington
FPO AE 12326"
63027.67,5,6,2,35991.72064,608794.25,"246 Michele Lock Suite 093
South Michellemouth, VI 62800"
62484.86,6,7,5,26882.65179,946943.04,"356 Madeline Locks Apt. 115
Kaitlinland, MS 49150-0243"
73923.47,7,7,6,58745.31203,1819900.64,"232 Allen Ridge
West Jasonview, CT 93021"
79737.61,7,7,2,28307.31433,1463130.27,"5042 Ricky Road
New Candice, MN 40661-8809"
63890.47,5,8,5,43416.49782,1252391.18,"60860 Griffin Streets Apt. 040
East Catherine, NH 18346"
67310.04,7,8,5,43310.61243,1714445.18,"89002 Robert Square Suite 028
Port Jennyside, CA 38546-6307"
73145.73,4,7,3,49463.37888,1291759.39,"8533 Sparks Lodge
New Kevin, GA 98179"
86924.36,7,8,6,28719.41089,1809154.29,"922 Mark Lodge
Matthewton, ID 71131-3139"
74384.11,7,5,2,17117.44367,1200539.36,"757 Sherri Shores Suite 744
Jesusfurt, OK 73052-4985"
67477.79,7,8,5,29763.92535,1300265.21,"PSC 8479, Box 0952
APO AA 33741"
71202.96,4,7,4,34207.39721,997448.73,"5560 Michaela Spur Suite 730
West Charlottefurt, PA 00463"
85845.32,7,9,3,46477.67868,2152959.41,"255 Sosa Pines Suite 751
Wilsonview, MT 31615"
72138.87,7,8,5,35799.63827,1629983.85,"156 Conner Lane
East Brittany, MI 26733"
44806.01,4,5,3,57390.89007,497579.45,"478 Vasquez Fort Apt. 346
Aliciaside, NV 37124-6408"
67504.18,5,6,4,37441.12054,890112.55,"67610 Smith Knolls
Brendaberg, MA 55188-7972"
74706.10,5,6,2,39680.60932,1064685.70,"504 Robertson Streets
Jamesshire, WA 56754"
68898.35,7,8,6,39515.57156,1530124.02,"777 Ross Crossroad
Kaiserville, RI 24445"
58118.02,8,6,4,35598.39044,1246246.83,"2418 Samantha Green Apt. 016
Port Keithmouth, VT 62207-0408"
77643.28,6,5,4,35512.25505,1240754.93,"95957 Tara Hill Suite 428
Huntland, KS 57002-5552"
67769.83,8,7,4,33254.60341,1760734.69,"26906 Simmons Underpass Suite 444
Port Tinashire, DC 13101"
74411.06,6,7,6,43537.50295,1393746.76,"4930 James Flats
New Shannon, NJ 75829-8040"
73101.08,4,9,4,29497.97129,1172385.90,"78212 Turner Ville Apt. 217
West Lauraberg, MP 47353-3682"
58708.42,5,6,4,15969.92604,483986.11,"33410 Smith Summit
West Kimberlyberg, CT 49785-3758"
63876.06,7,7,3,38052.87644,1388530.16,"49940 Ramirez Mission Suite 136
West Bryan, MD 95291-3904"
68343.15,6,8,6,40653.87007,1721739.38,"4746 Morgan Forge
Diaztown, VT 79978"
73064.98,6,7,6,30699.33971,1276448.79,"5808 Burton Viaduct
North Nicholasport, CO 32392-1208"
67367.27,7,7,2,32547.27253,1161742.68,"8093 Lara Overpass Apt. 364
Lake Brookebury, NV 30264"
66547.18,6,5,2,16741.96499,786407.95,"249 Susan Canyon
North Jessica, ID 13412"
73313.55,6,8,4,37808.99667,1604920.97,"08091 Bush Course
New Michael, RI 47524-7511"
47681.36,7,8,5,50908.97891,1230149.14,"PSC 6933, Box 3805
APO AP 50576"
67910.95,6,7,4,31379.78297,1051644.55,"6798 Smith Junctions
Wolfeton, WY 86565-5079"
69277.89,6,8,5,43717.91309,1415073.61,"256 Sanchez Ports Apt. 057
Johnmouth, PA 69763"
67946.71,5,6,3,35197.94257,1043483.92,"68672 Guzman Ridge
Clinefurt, WI 04078-6179"
90975.11,5,8,6,44426.21365,1544379.75,"4447 Steven River Suite 076
West Karenmouth, DC 61561-8593"
61885.55,5,7,3,48726.9513,1352135.97,"USCGC Hess
FPO AE 29193"
69401.85,7,8,3,29293.07405,1505727.43,"0617 Neal Curve
South Daniel, AS 09326"
72969.12,6,8,4,31755.72136,1416965.98,"412 Janet Radial Suite 115
Kariview, NY 37073-8343"
75582.46,6,7,4,31946.30387,1046721.98,"9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399"
56241.23,6,7,2,32745.36812,939040.00,"3062 Donald Inlet Suite 642
West Matthew, GU 49340"
79412.84,6,7,3,17568.73376,1383031.33,"764 Timothy Turnpike
North Audreymouth, TX 02395"
79618.24,5,7,3,29636.50711,1072503.24,"862 Ryan Flat
West Larryborough, WV 11517"
67019.07,6,7,6,24997.10871,1134397.76,"378 Evans Crest
East Shelbystad, HI 23326"
56063.48,5,5,4,39129.2967,734827.51,"09897 Katherine Forge
North Johnside, NC 01211"
57077.58,6,7,4,33393.9166,991892.32,"2367 Noah Center
North Dakotashire, PA 99619-0890"
75954.82,4,7,5,34467.7587,1057252.58,"19678 Noble Cove Suite 264
South Elizabethfort, CO 13304-1647"
52575.82,7,7,4,41828.57962,1237224.86,"8803 Jackson Ramp
South Thomasland, RI 09631-6361"
63312.81,6,8,4,43230.35216,1442632.54,"87629 Shawn Crossing
North William, MN 71601-6188"
82526.96,6,8,4,43947.68026,1877402.32,"2574 Shannon Alley
South Fred, OR 64217"
73204.94,7,7,6,35090.50081,1394518.42,"676 Jose Locks Apt. 415
South Cynthia, SC 89264"
56357.19,6,5,3,38061.9983,953939.33,"4160 Martinez Bridge Apt. 713
West Ann, MI 89447-0160"
71316.62,7,7,5,21651.69941,1219778.03,"26847 Weber Ports Apt. 767
North Robinton, FM 43014"
75046.85,5,9,3,32468.03115,1287325.38,"PSC 8891, Box 6475
APO AP 28726-5123"
84474.16,7,6,2,38677.81515,1739893.56,"623 Jackson Road Apt. 492
Sarahville, NM 19973"
68162.68,7,7,3,31843.87634,1213382.22,"0575 Edward Cliff
Miguelmouth, NY 06408"
62784.33,8,5,3,35122.38947,1007478.75,"6660 Alex Park
Barkerfort, WY 52781"
67009.82,7,8,3,39737.12261,1528756.13,"176 Parker Grove Apt. 591
Nicoleshire, MO 83183-5326"
67437.25,7,7,2,29356.22337,1182459.77,"203 Amy Ford Suite 158
Kelleyfurt, LA 49990-9626"
65967.77,7,8,3,35799.96255,1474546.76,"842 Jackson Parkway
Angelabury, MI 68188-8699"
42816.31,8,7,4,47457.66221,1078016.94,"5339 Charles Road Apt. 570
East Angelicastad, PR 36295-7649"
83347.67,5,5,3,48226.71893,1453381.62,"0647 Ramirez Hill
New Crystalport, AZ 33060"
81699.88,5,6,4,39527.04856,1495012.97,"4233 Chase Fields
East Vanessabury, OR 85375-7861"
56143.79,5,7,4,45084.03666,714148.41,"0606 Ricardo Drive
Williamton, GU 79243"
59513.83,5,6,3,44162.27921,894292.05,"14157 Jones Parkway Suite 319
North Haley, AK 18534"
78379.41,6,6,3,31357.38821,1159841.83,"2579 Pamela Shoals
North Christianhaven, TX 95259"
70877.38,7,7,5,36033.42685,1195986.30,"PSC 5171, Box 6452
APO AA 44610-4655"
61526.97,7,9,6,27307.94803,1381430.63,"23682 William Glens Apt. 920
Lake Hollystad, CO 20067"
65317.00,7,7,2,55799.49748,1534889.85,"32521 Martinez Highway
Stephaniehaven, NY 78577"
76268.82,7,6,3,38649.85239,1494125.33,"9109 Omar View Suite 461
East Sarahfort, WI 02969"
48531.36,7,9,5,39731.15056,1356146.26,"5611 Chandler Mill
East Brianfort, AK 51236-0093"
82906.65,6,6,4,38820.48194,1454943.07,"PSC 5599, Box 5942
APO AP 55563-1953"
63117.84,5,6,2,43091.84514,774118.19,"2128 Shawna Orchard Suite 992
New Melissabury, MN 22338"
75860.86,4,5,3,41003.88008,889113.24,"019 Moore Center Apt. 643
West John, KY 54923"
68844.76,5,7,3,48392.49736,1211102.21,"Unit 3192 Box 6415
DPO AP 76779-7624"
52446.27,6,7,3,32934.5532,658646.18,"20185 Mary Crest
South Reneeville, VI 91892"
69342.71,6,8,3,37082.37422,1400104.87,"18067 Williams Roads Suite 683
South Christineton, CO 76227"
55932.05,7,6,4,42488.31,1262017.79,"089 Wilson Forks Suite 185
East Gina, PA 98785-6132"
53306.92,5,6,2,39063.33871,553077.21,"9643 Oscar Valley
North Richardstad, ME 14629-9980"
56976.55,6,7,3,46375.50249,1203247.89,"46619 Morgan Squares
Stevenfurt, FM 70548"
51296.49,6,8,6,32078.9068,1115323.02,"407 Silva Inlet Apt. 301
East Carolmouth, SC 73414"
63995.00,8,7,5,24748.26827,1301881.42,"USCGC Friedman
FPO AE 57606-0743"
71915.15,6,6,4,27714.29366,1006687.39,"038 Anderson Club Suite 485
Richardsonfort, MA 22267"
62137.60,5,7,5,19045.61951,749383.07,"014 Shaun Gardens
Lake Todd, HI 08110"
78050.97,5,6,4,27789.74852,1075596.59,"2606 Stout Inlet
Port Brenda, SC 59596-5906"
67371.42,5,7,4,24797.76476,739870.79,"94952 Hall Cliffs Suite 366
West Jessica, MT 23902"
59362.77,7,8,3,44723.35373,1442945.15,"8581 Johnson Ranch Apt. 905
Jacquelinefurt, MH 08716-8228"
57003.11,7,6,3,29594.69337,828497.07,"089 Jessica Dale
West Melissa, PW 59364"
68989.31,6,8,6,32629.60383,1373290.86,"USNS Hamilton
FPO AA 90003"
70969.90,5,6,3,24833.64615,925566.33,"8016 Hicks Alley Apt. 735
Nicoleside, WV 73615-4795"
82251.65,8,8,6,18408.79864,1552536.76,"04952 Michael Terrace Apt. 414
Port Tammy, GA 56924-1868"
71306.46,6,7,2,43284.39716,1335904.50,"3890 Hunt Trail
Davidhaven, OR 04793"
70921.57,6,6,3,29390.21727,960808.29,"8398 Sanchez Gateway Suite 937
Mccoyburgh, PA 32814"
70739.46,7,7,6,35148.66775,1405933.02,"67095 Jeffrey Islands Suite 573
West Elizabeth, MI 33061-9433"
58097.84,6,6,3,19903.00008,619087.69,"31995 Moore Brook
New Melissa, MO 19787"
51273.51,7,7,2,53811.89491,1329273.23,"Unit 5683 Box 5483
DPO AA 78774-2982"
76326.59,5,5,3,42779.8313,1261843.84,"77194 Carlson Causeway Apt. 904
West John, KY 70976"
63584.05,6,6,4,46340.18858,1175781.42,"73601 Donaldson Squares
Port John, VI 73473"
86340.29,5,6,3,35630.56045,1437053.56,"6864 Michelle Field Apt. 339
Madisonmouth, KY 99033"
79471.24,6,8,6,36616.16883,1594415.23,"35165 Haley Falls Suite 341
South Elizabeth, VT 29143-4442"
55879.50,6,5,2,37360.06356,931358.00,"54993 James Place Suite 797
South Kenneth, CA 86457-1211"
40503.54,7,7,3,45979.47754,798639.65,"6799 Downs Plaza
Randallberg, NH 17910-5241"
83394.41,6,6,2,30487.52462,1451739.63,"79098 Brandon Island Suite 624
Horneshire, MA 35281-8110"
64501.23,6,7,5,43869.30998,1278991.69,"8173 Rush Wells
New Stephanie, MS 56356"
59569.54,6,7,4,31294.65246,885920.55,"762 Corey Landing Suite 528
Billymouth, AZ 48958"
69280.32,7,7,4,40290.91149,1425632.54,"077 Laura Curve
New Christopherview, AZ 15138"
66342.49,6,7,3,11792.81516,901881.74,"5342 Dean Overpass
Matthewville, MI 08613"
73367.05,6,9,5,23684.78795,1521730.79,"469 William Shore Suite 726
South Krystalchester, MP 47720"
57122.22,6,6,2,41972.77154,716771.01,"566 Brown Grove Apt. 886
Cardenasmouth, IN 87042-1285"
61978.85,8,8,5,56957.18775,1696717.11,"017 Bowers Field
Williamsstad, OK 15934-8122"
54299.97,7,7,2,39512.66371,819598.01,"05946 Wong Spur
Susanshire, NY 67746-2473"
71424.41,6,9,3,37242.56159,1584213.96,"9297 Cole Highway
Patrickhaven, DC 02945-8988"
57353.15,8,6,4,16906.42172,798892.52,"88404 William Cape Apt. 249
Dawsonhaven, MA 21219-3496"
44731.11,4,9,5,39633.47304,601973.00,"4896 Jennifer River Apt. 180
Shafferberg, MN 77619-4214"
76175.49,5,10,4,30760.99496,1456486.29,"82014 Stanton Gardens Suite 664
Lake Dawnborough, DC 86197-4191"
66574.71,6,7,2,69575.44946,1702406.04,"551 Macdonald Viaduct
West Stephanie, TN 55360"
91731.15,5,8,6,33102.09542,1566471.01,"860 Thompson Skyway Suite 901
Kimshire, AR 37353-5106"
75487.03,6,8,4,41105.39063,1592210.18,"5036 Peterson Throughway
East Megan, GA 08456-4696"
58088.44,6,6,4,51925.41161,937628.35,"Unit 5584 Box 2763
DPO AE 40544"
76319.22,7,6,3,48026.30837,1558547.58,"09437 Carolyn Mountain
Knappview, CA 70608-7504"
60575.16,6,7,2,32158.9679,1156329.27,"5052 Chloe Lights Apt. 374
North Scott, IA 81431"
69607.13,7,8,3,34609.04022,1514349.69,"8781 Robert Lakes Suite 880
East Wendy, ID 51813"
67056.84,5,7,5,25134.68148,1039107.33,"3440 Cannon Lakes
Port Melaniehaven, WA 60324-0399"
60640.93,5,5,2,43119.54066,809089.67,"0956 Isabella Lodge
East Valeriefurt, CO 64441"
69031.91,6,6,3,15660.40301,675536.39,"36736 Kristi Radial
Port Carl, ID 35292-9269"
80356.21,5,10,5,16215.41728,1373589.80,"10492 Reed Track
North Ericstad, IA 78774-8363"
60081.18,7,8,4,60195.74627,1690091.02,"Unit 6269 Box 9041
DPO AE 13073"
61881.48,7,7,5,35597.37289,1253370.15,"1486 Elizabeth Plains Apt. 235
New Cynthia, MD 73729-5878"
59590.97,7,6,2,24153.88252,774073.56,"239 Anna Locks Suite 853
Lisaland, GA 31515-2260"
89831.32,5,8,6,45335.36028,1741959.83,"77610 Evan Field Apt. 712
West Shannonland, WI 30751"
72175.28,7,7,2,50305.79541,1705762.79,"11385 Thomas Ford
New Karinaton, HI 01691-9923"
67589.05,6,6,2,33203.38392,1071109.92,"385 Barnes Lock Suite 561
Lake Kellytown, NJ 74310"
77300.03,5,7,4,29499.04095,1118047.99,"039 Chan Meadows
South Amandahaven, TN 78068"
65382.89,5,8,6,41723.05474,1165253.03,"945 Schneider Villages Apt. 519
West Brittneyburgh, ID 36371-1622"
71145.21,6,7,2,35642.53034,1280910.19,"15288 Steven Extensions Suite 209
Zacharybury, KS 87707-6205"
61053.04,6,6,2,40675.77383,841122.88,"8559 Cooper Cove Suite 935
Katherinemouth, NE 81147-6595"
65125.95,6,7,4,37642.78527,1228810.75,"90043 White Lane Apt. 673
Williamburgh, DE 67265"
51949.30,6,8,5,35336.06305,1086072.07,"40094 Yates Lodge Suite 008
Fergusonborough, LA 87592-4342"
75897.99,5,7,3,34162.67061,1204372.30,"17853 Michael Motorway
Danielfurt, MH 28095"
71468.35,6,6,3,43269.03337,1345004.12,"48466 Brown Port Apt. 116
South Chelseatown, CO 28752"
53287.99,6,7,3,45152.01427,1116902.35,"0205 Rose Crescent
East Ritaside, MD 10967"
61503.04,5,7,3,37650.86971,822431.73,"18941 Ray Ports
East Nicoleland, OR 67363"
68896.05,6,8,4,28394.60978,1360623.69,"1515 Watson Fort
Christopherberg, MP 90562"
91159.42,7,7,3,54861.0911,2298379.49,"170 Smith Wall
South Christopherhaven, AZ 87521"
63375.35,7,8,3,45633.19224,1400498.27,"064 Kaufman River
Danielburgh, CO 09090"
59695.57,5,6,2,20702.80267,566848.73,"295 Angela Harbors
East Patriciaburgh, GA 95388"
63183.89,6,8,5,58691.20066,1367586.28,"950 Luis Avenue Suite 364
West Nicole, OR 03658-3559"
61177.81,7,7,5,26396.29111,1113373.52,"27945 Clark Tunnel
Kleinmouth, NV 19751-3095"
58642.31,5,6,3,35131.57815,721974.55,"6163 Michael Orchard
Gallagherborough, GA 48395"
53112.28,5,6,4,40367.38387,685503.99,"4158 Drew Plains Apt. 975
Ericaview, MP 60784"
40366.62,5,8,5,16349.36539,152071.87,"503 Howard Pass Apt. 427
Fernandezborough, GA 02514"
62207.48,7,7,5,34317.53831,1280431.57,"2084 Carter Highway Suite 935
New Stevenmouth, DE 67121"
57477.95,5,7,6,23649.96887,568703.18,"2105 Lauren Radial
Lake Michellestad, FL 92096-6812"
55630.49,6,9,6,38943.09599,1200764.84,"3407 Preston Pine
East Mark, NY 86626-3319"
72399.31,7,8,6,41662.00007,1607161.64,"719 Raymond Route
West Diane, ME 60200-7803"
89868.89,5,7,5,30101.72457,1421715.42,"310 Paul Mill Suite 863
Pamelaland, AS 20202-1133"
59801.49,4,5,2,33534.9264,311111.20,"47705 Bethany Forge Suite 965
North Heatherhaven, ND 10371"
